,Series_Reference,Period,Data_Value,Status Code,Type,Group,Description
83,CPIQ.SE501,2024.03,1270.0,FINAL,Regional index,Canterbury,Food
84,CPIQ.SE502,2024.03,1378.0,FINAL,Regional index,Canterbury,Alcoholic beverages and tobacco
85,CPIQ.SE503,2024.03,1070.0,FINAL,Regional index,Canterbury,Clothing and footwear
86,CPIQ.SE504,2024.03,1283.0,FINAL,Regional index,Canterbury,Housing and household utilities
87,CPIQ.SE504101,2024.03,1225.0,FINAL,Regional index,Canterbury,Actual rentals for housing
88,CPIQ.SE504201,2024.03,1309.0,FINAL,Regional index,Canterbury,Purchase of housing
89,CPIQ.SE505,2024.03,1218.0,FINAL,Regional index,Canterbury,Household contents and services
90,CPIQ.SE506,2024.03,1202.0,FINAL,Regional index,Canterbury,Health
91,CPIQ.SE507,2024.03,1271.0,FINAL,Regional index,Canterbury,Transport
92,CPIQ.SE507202,2024.03,1392.0,FINAL,Regional index,Canterbury,Petrol
93,CPIQ.SE509,2024.03,1232.0,FINAL,Regional index,Canterbury,Recreation and culture
94,CPIQ.SE511,2024.03,1345.0,FINAL,Regional index,Canterbury,Miscellaneous goods and services
95,CPIQ.SE5A,2024.03,1249.0,FINAL,Regional index,Canterbury,All Groups
96,CPIQ.SE601,2024.03,1292.0,FINAL,Regional index,Rest of South Island,Food
97,CPIQ.SE602,2024.03,1423.0,FINAL,Regional index,Rest of South Island,Alcoholic beverages and tobacco
98,CPIQ.SE603,2024.03,1104.0,FINAL,Regional index,Rest of South Island,Clothing and footwear
99,CPIQ.SE604,2024.03,1403.0,FINAL,Regional index,Rest of South Island,Housing and household utilities
100,CPIQ.SE604101,2024.03,1335.0,FINAL,Regional index,Rest of South Island,Actual rentals for housing
101,CPIQ.SE604201,2024.03,1582.0,FINAL,Regional index,Rest of South Island,Purchase of housing
102,CPIQ.SE605,2024.03,1194.0,FINAL,Regional index,Rest of South Island,Household contents and services
103,CPIQ.SE606,2024.03,1219.0,FINAL,Regional index,Rest of South Island,Health
104,CPIQ.SE607,2024.03,1273.0,FINAL,Regional index,Rest of South Island,Transport
105,CPIQ.SE607202,2024.03,1386.0,FINAL,Regional index,Rest of South Island,Petrol
106,CPIQ.SE609,2024.03,1244.0,FINAL,Regional index,Rest of South Island,Recreation and culture
107,CPIQ.SE611,2024.03,1296.0,FINAL,Regional index,Rest of South Island,Miscellaneous goods and services
108,CPIQ.SE6A,2024.03,1284.0,FINAL,Regional index,Rest of South Island,All Groups
109,CPIQ.SE701,2024.03,1280.0,FINAL,Regional index,South Island,Food
110,CPIQ.SE702,2024.03,1398.0,FINAL,Regional index,South Island,Alcoholic beverages and tobacco
111,CPIQ.SE703,2024.03,1083.0,FINAL,Regional index,South Island,Clothing and footwear
112,CPIQ.SE704,2024.03,1333.0,FINAL,Regional index,South Island,Housing and household utilities
113,CPIQ.SE704101,2024.03,1267.0,FINAL,Regional index,South Island,Actual rentals for housing
114,CPIQ.SE704201,2024.03,1412.0,FINAL,Regional index,South Island,Purchase of housing
115,CPIQ.SE705,2024.03,1208.0,FINAL,Regional index,South Island,Household contents and services
116,CPIQ.SE706,2024.03,1212.0,FINAL,Regional index,South Island,Health
117,CPIQ.SE707,2024.03,1272.0,FINAL,Regional index,South Island,Transport
118,CPIQ.SE707202,2024.03,1385.0,FINAL,Regional index,South Island,Petrol
119,CPIQ.SE709,2024.03,1238.0,FINAL,Regional index,South Island,Recreation and culture
120,CPIQ.SE711,2024.03,1323.0,FINAL,Regional index,South Island,Miscellaneous goods and services
121,CPIQ.SE7A,2024.03,1264.0,FINAL,Regional index,South Island,All Groups
122,CPIQ.SE901,2024.03,1286.0,FINAL,Main CPI,Group,Food
123,CPIQ.SE9011,2024.03,1213.0,FINAL,Main CPI,Subgroup,Fruit and vegetables
124,CPIQ.SE901101,2024.03,1422.0,FINAL,Main CPI,Class,Fruit
125,CPIQ.SE901101IPCA,2024.03,0.44,FINAL,Index point contribution annual,Class,Fruit
126,CPIQ.SE901101IPCP,2024.03,0.92,FINAL,Index point contribution quarterly,Class,Fruit
127,CPIQ.SE901101PCCA,2024.03,0.9,FINAL,Percentage contribution annual,Class,Fruit
128,CPIQ.SE901101PCCP,2024.03,11.5,FINAL,Percentage contribution quarterly,Class,Fruit
129,CPIQ.SE901101PPCA,2024.03,0.036,FINAL,Percentage points contribution annual,Class,Fruit
130,CPIQ.SE901101PPCP,2024.03,0.069,FINAL,Percentage points contribution quarterly,Class,Fruit
131,CPIQ.SE901102,2024.03,1088.0,FINAL,Main CPI,Class,Vegetables
132,CPIQ.SE901102IPCA,2024.03,-2.98,FINAL,Index point contribution annual,Class,Vegetables
133,CPIQ.SE901102IPCP,2024.03,-1.54,FINAL,Index point contribution quarterly,Class,Vegetables
134,CPIQ.SE901102PCCA,2024.03,-6.1,FINAL,Percentage contribution annual,Class,Vegetables
135,CPIQ.SE901102PCCP,2024.03,-19.4,FINAL,Percentage contribution quarterly,Class,Vegetables
136,CPIQ.SE901102PPCA,2024.03,-0.243,FINAL,Percentage points contribution annual,Class,Vegetables
137,CPIQ.SE901102PPCP,2024.03,-0.116,FINAL,Percentage points contribution quarterly,Class,Vegetables
138,CPIQ.SE9011IPCA,2024.03,-2.54,FINAL,Index point contribution annual,Subgroup,Fruit and vegetables
139,CPIQ.SE9011IPCP,2024.03,-0.63,FINAL,Index point contribution quarterly,Subgroup,Fruit and vegetables
140,CPIQ.SE9011PCCA,2024.03,-5.2,FINAL,Percentage contribution annual,Subgroup,Fruit and vegetables
141,CPIQ.SE9011PCCP,2024.03,-7.9,FINAL,Percentage contribution quarterly,Subgroup,Fruit and vegetables
142,CPIQ.SE9011PPCA,2024.03,-0.207,FINAL,Percentage points contribution annual,Subgroup,Fruit and vegetables
143,CPIQ.SE9011PPCP,2024.03,-0.047,FINAL,Percentage points contribution quarterly,Subgroup,Fruit and vegetables
144,CPIQ.SE9012,2024.03,1258.0,FINAL,Main CPI,Subgroup,"Meat, poultry and fish"
145,CPIQ.SE901201,2024.03,1241.0,FINAL,Main CPI,Class,Meat and poultry
146,CPIQ.SE9012011,2024.03,1218.0,FINAL,Main CPI,Section,"Beef and veal (fresh, chilled or frozen)"
147,CPIQ.SE9012012,2024.03,1244.0,FINAL,Main CPI,Section,"Pork (fresh, chilled or frozen)"
148,CPIQ.SE9012013,2024.03,1193.0,FINAL,Main CPI,Section,"Mutton, lamb and hogget (fresh, chilled or frozen)"
149,CPIQ.SE9012014,2024.03,1139.0,FINAL,Main CPI,Section,"Poultry (fresh, chilled or frozen)"
150,CPIQ.SE9012016,2024.03,1337.0,FINAL,Main CPI,Section,"Preserved, prepared and processed meat"
151,CPIQ.SE901201IPCA,2024.03,0.04,FINAL,Index point contribution annual,Class,Meat and poultry
152,CPIQ.SE901201IPCP,2024.03,-0.12,FINAL,Index point contribution quarterly,Class,Meat and poultry
153,CPIQ.SE901201PCCA,2024.03,0.1,FINAL,Percentage contribution annual,Class,Meat and poultry
154,CPIQ.SE901201PCCP,2024.03,-1.5,FINAL,Percentage contribution quarterly,Class,Meat and poultry
155,CPIQ.SE901201PPCA,2024.03,0.003,FINAL,Percentage points contribution annual,Class,Meat and poultry
156,CPIQ.SE901201PPCP,2024.03,-0.009,FINAL,Percentage points contribution quarterly,Class,Meat and poultry
157,CPIQ.SE901202,2024.03,1344.0,FINAL,Main CPI,Class,Fish and other seafood
158,CPIQ.SE901202IPCA,2024.03,0.16,FINAL,Index point contribution annual,Class,Fish and other seafood
159,CPIQ.SE901202IPCP,2024.03,0.0,FINAL,Index point contribution quarterly,Class,Fish and other seafood
160,CPIQ.SE901202PCCA,2024.03,0.3,FINAL,Percentage contribution annual,Class,Fish and other seafood
161,CPIQ.SE901202PCCP,2024.03,0.0,FINAL,Percentage contribution quarterly,Class,Fish and other seafood
162,CPIQ.SE901202PPCA,2024.03,0.013,FINAL,Percentage points contribution annual,Class,Fish and other seafood
163,CPIQ.SE901202PPCP,2024.03,0.0,FINAL,Percentage points contribution quarterly,Class,Fish and other seafood
164,CPIQ.SE9012IPCA,2024.03,0.2,FINAL,Index point contribution annual,Subgroup,"Meat, poultry and fish"
165,CPIQ.SE9012IPCP,2024.03,-0.13,FINAL,Index point contribution quarterly,Subgroup,"Meat, poultry and fish"
166,CPIQ.SE9012PCCA,2024.03,0.4,FINAL,Percentage contribution annual,Subgroup,"Meat, poultry and fish"
167,CPIQ.SE9012PCCP,2024.03,-1.6,FINAL,Percentage contribution quarterly,Subgroup,"Meat, poultry and fish"
168,CPIQ.SE9012PPCA,2024.03,0.016,FINAL,Percentage points contribution annual,Subgroup,"Meat, poultry and fish"
169,CPIQ.SE9012PPCP,2024.03,-0.009,FINAL,Percentage points contribution quarterly,Subgroup,"Meat, poultry and fish"
170,CPIQ.SE9013,2024.03,1288.0,FINAL,Main CPI,Subgroup,Grocery food
171,CPIQ.SE901301,2024.03,1283.0,FINAL,Main CPI,Class,Bread and cereals
172,CPIQ.SE9013011,2024.03,1308.0,FINAL,Main CPI,Section,Bread
173,CPIQ.SE9013012,2024.03,1282.0,FINAL,Main CPI,Section,Cakes and biscuits
174,CPIQ.SE9013013,2024.03,1182.0,FINAL,Main CPI,Section,Breakfast cereals
175,CPIQ.SE9013014,2024.03,1357.0,FINAL,Main CPI,Section,Pasta products
176,CPIQ.SE9013015,2024.03,1294.0,FINAL,Main CPI,Section,Pastry-cook products
177,CPIQ.SE9013016,2024.03,1282.0,FINAL,Main CPI,Section,Other cereal products
178,CPIQ.SE901301IPCA,2024.03,0.87,FINAL,Index point contribution annual,Class,Bread and cereals
179,CPIQ.SE901301IPCP,2024.03,0.19,FINAL,Index point contribution quarterly,Class,Bread and cereals
180,CPIQ.SE901301PCCA,2024.03,1.8,FINAL,Percentage contribution annual,Class,Bread and cereals
181,CPIQ.SE901301PCCP,2024.03,2.3,FINAL,Percentage contribution quarterly,Class,Bread and cereals
182,CPIQ.SE901301PPCA,2024.03,0.071,FINAL,Percentage points contribution annual,Class,Bread and cereals
183,CPIQ.SE901301PPCP,2024.03,0.014,FINAL,Percentage points contribution quarterly,Class,Bread and cereals
184,CPIQ.SE901302,2024.03,1323.0,FINAL,Main CPI,Class,"Milk, cheese and eggs"
185,CPIQ.SE9013021,2024.03,1138.0,FINAL,Main CPI,Section,Fresh milk
186,CPIQ.SE9013022,2024.03,1160.0,FINAL,Main CPI,Section,Preserved milk
187,CPIQ.SE9013023,2024.03,1464.0,FINAL,Main CPI,Section,"Yoghurt (fresh, frozen)"
188,CPIQ.SE9013024,2024.03,1194.0,FINAL,Main CPI,Section,Cheese
189,CPIQ.SE9013025,2024.03,1126.0,FINAL,Main CPI,Section,Other milk products
190,CPIQ.SE9013026,2024.03,2163.0,FINAL,Main CPI,Section,Eggs
191,CPIQ.SE901302IPCA,2024.03,0.03,FINAL,Index point contribution annual,Class,"Milk, cheese and eggs"
192,CPIQ.SE901302IPCP,2024.03,0.26,FINAL,Index point contribution quarterly,Class,"Milk, cheese and eggs"
193,CPIQ.SE901302PCCA,2024.03,0.1,FINAL,Percentage contribution annual,Class,"Milk, cheese and eggs"
194,CPIQ.SE901302PCCP,2024.03,3.3,FINAL,Percentage contribution quarterly,Class,"Milk, cheese and eggs"
195,CPIQ.SE901302PPCA,2024.03,0.003,FINAL,Percentage points contribution annual,Class,"Milk, cheese and eggs"
196,CPIQ.SE901302PPCP,2024.03,0.02,FINAL,Percentage points contribution quarterly,Class,"Milk, cheese and eggs"
197,CPIQ.SE901303,2024.03,1177.0,FINAL,Main CPI,Class,Oils and fats
198,CPIQ.SE901303IPCA,2024.03,0.07,FINAL,Index point contribution annual,Class,Oils and fats
199,CPIQ.SE901303IPCP,2024.03,0.03,FINAL,Index point contribution quarterly,Class,Oils and fats
200,CPIQ.SE901303PCCA,2024.03,0.1,FINAL,Percentage contribution annual,Class,Oils and fats
201,CPIQ.SE901303PCCP,2024.03,0.4,FINAL,Percentage contribution quarterly,Class,Oils and fats
202,CPIQ.SE901303PPCA,2024.03,0.006,FINAL,Percentage points contribution annual,Class,Oils and fats
203,CPIQ.SE901303PPCP,2024.03,0.003,FINAL,Percentage points contribution quarterly,Class,Oils and fats
204,CPIQ.SE901304,2024.03,1264.0,FINAL,Main CPI,Class,Food additives and condiments
205,CPIQ.SE901304IPCA,2024.03,0.43,FINAL,Index point contribution annual,Class,Food additives and condiments
206,CPIQ.SE901304IPCP,2024.03,0.02,FINAL,Index point contribution quarterly,Class,Food additives and condiments
207,CPIQ.SE901304PCCA,2024.03,0.9,FINAL,Percentage contribution annual,Class,Food additives and condiments
208,CPIQ.SE901304PCCP,2024.03,0.2,FINAL,Percentage contribution quarterly,Class,Food additives and condiments
209,CPIQ.SE901304PPCA,2024.03,0.035,FINAL,Percentage points contribution annual,Class,Food additives and condiments
210,CPIQ.SE901304PPCP,2024.03,0.001,FINAL,Percentage points contribution quarterly,Class,Food additives and condiments
211,CPIQ.SE901305,2024.03,1287.0,FINAL,Main CPI,Class,"Confectionery, nuts and snacks"
212,CPIQ.SE901305IPCA,2024.03,1.04,FINAL,Index point contribution annual,Class,"Confectionery, nuts and snacks"
213,CPIQ.SE901305IPCP,2024.03,0.37,FINAL,Index point contribution quarterly,Class,"Confectionery, nuts and snacks"
214,CPIQ.SE901305PCCA,2024.03,2.1,FINAL,Percentage contribution annual,Class,"Confectionery, nuts and snacks"
215,CPIQ.SE901305PCCP,2024.03,4.7,FINAL,Percentage contribution quarterly,Class,"Confectionery, nuts and snacks"
216,CPIQ.SE901305PPCA,2024.03,0.085,FINAL,Percentage points contribution annual,Class,"Confectionery, nuts and snacks"
217,CPIQ.SE901305PPCP,2024.03,0.028,FINAL,Percentage points contribution quarterly,Class,"Confectionery, nuts and snacks"
218,CPIQ.SE901306,2024.03,1281.0,FINAL,Main CPI,Class,Other grocery food
219,CPIQ.SE901306IPCA,2024.03,0.33,FINAL,Index point contribution annual,Class,Other grocery food
220,CPIQ.SE901306IPCP,2024.03,0.11,FINAL,Index point contribution quarterly,Class,Other grocery food
221,CPIQ.SE901306PCCA,2024.03,0.7,FINAL,Percentage contribution annual,Class,Other grocery food
222,CPIQ.SE901306PCCP,2024.03,1.3,FINAL,Percentage contribution quarterly,Class,Other grocery food
223,CPIQ.SE901306PPCA,2024.03,0.027,FINAL,Percentage points contribution annual,Class,Other grocery food
224,CPIQ.SE901306PPCP,2024.03,0.008,FINAL,Percentage points contribution quarterly,Class,Other grocery food
225,CPIQ.SE9013IPCA,2024.03,2.77,FINAL,Index point contribution annual,Subgroup,Grocery food
226,CPIQ.SE9013IPCP,2024.03,0.98,FINAL,Index point contribution quarterly,Subgroup,Grocery food
227,CPIQ.SE9013PCCA,2024.03,5.6,FINAL,Percentage contribution annual,Subgroup,Grocery food
228,CPIQ.SE9013PCCP,2024.03,12.3,FINAL,Percentage contribution quarterly,Subgroup,Grocery food
229,CPIQ.SE9013PPCA,2024.03,0.226,FINAL,Percentage points contribution annual,Subgroup,Grocery food
230,CPIQ.SE9013PPCP,2024.03,0.074,FINAL,Percentage points contribution quarterly,Subgroup,Grocery food
231,CPIQ.SE9014,2024.03,1217.0,FINAL,Main CPI,Subgroup,Non-alcoholic beverages
232,CPIQ.SE901401,2024.03,1153.0,FINAL,Main CPI,Class,"Coffee, tea and other hot drinks"
233,CPIQ.SE901401IPCA,2024.03,0.15,FINAL,Index point contribution annual,Class,"Coffee, tea and other hot drinks"
234,CPIQ.SE901401IPCP,2024.03,-0.04,FINAL,Index point contribution quarterly,Class,"Coffee, tea and other hot drinks"
235,CPIQ.SE901401PCCA,2024.03,0.3,FINAL,Percentage contribution annual,Class,"Coffee, tea and other hot drinks"
236,CPIQ.SE901401PCCP,2024.03,-0.5,FINAL,Percentage contribution quarterly,Class,"Coffee, tea and other hot drinks"
237,CPIQ.SE901401PPCA,2024.03,0.012,FINAL,Percentage points contribution annual,Class,"Coffee, tea and other hot drinks"
238,CPIQ.SE901401PPCP,2024.03,-0.003,FINAL,Percentage points contribution quarterly,Class,"Coffee, tea and other hot drinks"
239,CPIQ.SE901402,2024.03,1235.0,FINAL,Main CPI,Class,"Soft drinks, waters and juices"
240,CPIQ.SE901402IPCA,2024.03,0.83,FINAL,Index point contribution annual,Class,"Soft drinks, waters and juices"
241,CPIQ.SE901402IPCP,2024.03,0.28,FINAL,Index point contribution quarterly,Class,"Soft drinks, waters and juices"
242,CPIQ.SE901402PCCA,2024.03,1.7,FINAL,Percentage contribution annual,Class,"Soft drinks, waters and juices"
243,CPIQ.SE901402PCCP,2024.03,3.5,FINAL,Percentage contribution quarterly,Class,"Soft drinks, waters and juices"
244,CPIQ.SE901402PPCA,2024.03,0.068,FINAL,Percentage points contribution annual,Class,"Soft drinks, waters and juices"
245,CPIQ.SE901402PPCP,2024.03,0.021,FINAL,Percentage points contribution quarterly,Class,"Soft drinks, waters and juices"
246,CPIQ.SE9014IPCA,2024.03,0.98,FINAL,Index point contribution annual,Subgroup,Non-alcoholic beverages
247,CPIQ.SE9014IPCP,2024.03,0.23,FINAL,Index point contribution quarterly,Subgroup,Non-alcoholic beverages
248,CPIQ.SE9014PCCA,2024.03,2.0,FINAL,Percentage contribution annual,Subgroup,Non-alcoholic beverages
249,CPIQ.SE9014PCCP,2024.03,3.0,FINAL,Percentage contribution quarterly,Subgroup,Non-alcoholic beverages
250,CPIQ.SE9014PPCA,2024.03,0.08,FINAL,Percentage points contribution annual,Subgroup,Non-alcoholic beverages
251,CPIQ.SE9014PPCP,2024.03,0.018,FINAL,Percentage points contribution quarterly,Subgroup,Non-alcoholic beverages
252,CPIQ.SE9015,2024.03,1370.0,FINAL,Main CPI,Subgroup,Restaurant meals and ready-to-eat food
253,CPIQ.SE901501,2024.03,1325.0,FINAL,Main CPI,Class,Restaurant meals
254,CPIQ.SE901501IPCA,2024.03,1.41,FINAL,Index point contribution annual,Class,Restaurant meals
255,CPIQ.SE901501IPCP,2024.03,0.16,FINAL,Index point contribution quarterly,Class,Restaurant meals
256,CPIQ.SE901501PCCA,2024.03,2.9,FINAL,Percentage contribution annual,Class,Restaurant meals
257,CPIQ.SE901501PCCP,2024.03,2.0,FINAL,Percentage contribution quarterly,Class,Restaurant meals
258,CPIQ.SE901501PPCA,2024.03,0.115,FINAL,Percentage points contribution annual,Class,Restaurant meals
259,CPIQ.SE901501PPCP,2024.03,0.012,FINAL,Percentage points contribution quarterly,Class,Restaurant meals
260,CPIQ.SE901502,2024.03,1394.0,FINAL,Main CPI,Class,Ready-to-eat food
261,CPIQ.SE901502IPCA,2024.03,2.57,FINAL,Index point contribution annual,Class,Ready-to-eat food
262,CPIQ.SE901502IPCP,2024.03,0.44,FINAL,Index point contribution quarterly,Class,Ready-to-eat food
263,CPIQ.SE901502PCCA,2024.03,5.2,FINAL,Percentage contribution annual,Class,Ready-to-eat food
264,CPIQ.SE901502PCCP,2024.03,5.5,FINAL,Percentage contribution quarterly,Class,Ready-to-eat food
265,CPIQ.SE901502PPCA,2024.03,0.209,FINAL,Percentage points contribution annual,Class,Ready-to-eat food
266,CPIQ.SE901502PPCP,2024.03,0.033,FINAL,Percentage points contribution quarterly,Class,Ready-to-eat food
267,CPIQ.SE9015IPCA,2024.03,3.98,FINAL,Index point contribution annual,Subgroup,Restaurant meals and ready-to-eat food
268,CPIQ.SE9015IPCP,2024.03,0.6,FINAL,Index point contribution quarterly,Subgroup,Restaurant meals and ready-to-eat food
269,CPIQ.SE9015PCCA,2024.03,8.1,FINAL,Percentage contribution annual,Subgroup,Restaurant meals and ready-to-eat food
270,CPIQ.SE9015PCCP,2024.03,7.5,FINAL,Percentage contribution quarterly,Subgroup,Restaurant meals and ready-to-eat food
271,CPIQ.SE9015PPCA,2024.03,0.324,FINAL,Percentage points contribution annual,Subgroup,Restaurant meals and ready-to-eat food
